,Actual,Predicted
886,700000.0,677421.9879566459
7378,323000.0,566549.8720926633
5954,725995.0,866567.9350104528
10589,325000.0,161170.72273435164
20714,275000.0,458016.64235845674
4969,330000.0,440317.9194511669
14822,2600000.0,1910210.905144276
12730,577288.0,697442.4451266453
16159,512500.0,338781.36816927977
11422,589000.0,413348.4364719782
2942,275436.0,474269.56601146795
19137,179000.0,506943.34136782866
20811,580000.0,224801.32251252886
5173,308000.0,589667.017766472
15463,235000.0,176468.67831137776
19358,371000.0,320275.0239931289
9904,290000.0,398899.95044631604
20997,699000.0,949569.9809407098
2008,463500.0,366201.7730517341
5211,895000.0,848185.8968505431
14684,294950.0,238656.51939809415
5328,385000.0,558409.9003249239
20326,2350000.0,1476080.2994285217
8570,189000.0,64425.88817251846
19561,321000.0,396054.6049225312
18856,269500.0,214376.4835130414
17416,250000.0,227975.5212680176
7171,436500.0,551816.1830897825
21291,480000.0,418147.4432803048
12980,310000.0,271029.0340924086
10262,269950.0,447018.74926519766
15951,268950.0,238667.61859985627
6930,985000.0,1116746.4528035298
20096,2250000.0,1135808.9984158836
13489,620000.0,554117.2023734748
7055,241000.0,323413.9132954404
12954,305000.0,251126.87059402745
7005,368000.0,413431.8088817308
13074,305000.0,500135.4380192496
6184,639000.0,704912.288648867
12978,787500.0,934908.610442441
10326,150000.0,217543.64991027117
15503,395000.0,673676.8716403972
8531,415000.0,359912.6732647773
5466,323000.0,525453.6260053292
21559,305000.0,304204.78407484107
9832,670000.0,463227.1960861366
16687,396000.0,171581.0609125886
8783,880000.0,961864.6926360996
7519,330000.0,86351.32131205406
7958,203000.0,348854.6699892767
9789,900000.0,1146913.1265670825
11452,366000.0,442073.5733819306
16477,414000.0,642385.8219064325
641,305000.0,412692.573680453
9219,307150.0,354024.02270228136
3578,405000.0,516215.89844806027
2294,260000.0,347459.4158815276
10206,466000.0,814200.5655905912
8172,698000.0,307826.96635633707
7753,460000.0,504849.7387280818
1103,195000.0,182459.9392940225
9807,854000.0,934167.8041150197
21171,770000.0,675125.1269477494
10674,443000.0,439607.7722110795
5541,385500.0,394724.1848234832
3382,783350.0,969669.3601302281
3673,464500.0,667408.2019128986
913,384000.0,463131.03657949436
6439,445000.0,472368.02350788563
17754,447000.0,265856.0392595371
13446,292500.0,346420.5879911864
16104,600000.0,789128.6492269635
10017,326000.0,349713.7132443851
13331,435010.0,312716.50116322935
2393,449950.0,617388.8120893892
19571,383962.0,571384.032133637
13606,382000.0,594372.877562725
12301,737000.0,506861.23437186424
13414,352500.0,354071.2634509336
20993,525000.0,654014.3153584134
4832,285000.0,258590.86336992215
13864,530000.0,641428.1662796643
8233,437000.0,480144.1830536723
7084,410000.0,551906.6603983445
11533,589000.0,776782.359878188
17494,959750.0,891355.6254537608
14946,396000.0,385874.738725869
19791,655000.0,492340.66861271113
11249,246900.0,299342.15264184494
8979,540000.0,544349.4974298468
449,520000.0,658756.7582964059
10391,344900.0,410919.2340616323
7107,295000.0,278142.9836405562
12493,399000.0,130265.02711696923
18335,475000.0,517755.0013739951
3147,345000.0,568468.6409161203
6655,580000.0,679658.599255369
18711,215000.0,289463.39643291105
5107,400000.0,717421.9851434417
9647,554990.0,464162.88066314347
17278,435000.0,271518.4458304718
1550,355000.0,583976.4405512996
208,180250.0,202231.68308431096
3361,160000.0,258176.79881384224
19044,290000.0,534996.16739746
9430,355000.0,526268.8949066857
14366,165000.0,387986.0124481283
6856,525000.0,439183.31294367183
6685,253905.0,233376.9796010498
10250,395000.0,556036.2349917032
5911,925000.0,873771.4238011008
3198,210000.0,234415.8007346345
17670,710000.0,533992.9712676676
1553,299000.0,373586.4495254904
5640,480000.0,447037.5855402723
2201,585000.0,763587.4963961886
6740,1880000.0,1010548.9480120549
4034,365000.0,452726.6428428758
10131,309000.0,262008.16607516631
9051,226800.0,328861.217059223
8220,165000.0,160871.49389138352
9241,480000.0,621368.84781323
15422,645000.0,639898.8825236624
5625,235000.0,279930.2883283356
7514,415000.0,643163.1487530516
8388,575000.0,429101.6657320373
8550,350000.0,411447.0676157577
14474,610000.0,678521.6691075098
7458,1300000.0,1263450.8499780549
18398,315000.0,235963.56185360067
12275,402200.0,349662.05118884426
6894,250000.0,76365.26140528917
15370,436000.0,316278.7444033371
3442,412000.0,381807.3240931332
4348,562000.0,597035.4931208659
8571,726500.0,480796.8125142101
5930,325000.0,498315.2585885562
8960,675000.0,966825.6527116261
8881,269000.0,335392.0286977822
8744,490000.0,636605.9158286275
5557,465425.0,517790.6610217877
2107,272000.0,310526.6000557728
12144,299000.0,410745.322312193
18286,556000.0,494042.70009879116
221,279950.0,427060.1760003837
17686,750000.0,718406.6172703141
8780,510000.0,410064.5340558896
5536,681000.0,592810.8360801768
7059,780000.0,932736.403016354
4741,666000.0,692009.2131653056
9368,950000.0,464041.6246243883
17288,2250000.0,1780043.8456411967
13581,580000.0,373865.02700501494
7833,1070000.0,896922.2709613647
14310,570000.0,637908.7859233031
15336,276000.0,253265.50426965673
16871,490000.0,631632.8675955646
17678,924000.0,860554.4099195441
17901,219000.0,198058.0271666739
7442,550000.0,536480.8117817426
12783,361550.0,234926.8253618935
9567,268000.0,550885.7551316628
2466,1280000.0,1274478.6874251133
6046,245000.0,413590.4135719184
10723,238000.0,280803.21251510736
17385,725000.0,720840.445963651
20175,440000.0,427917.1923444513
14033,360000.0,426458.3433998097
8101,315000.0,455101.93090098724
11072,290000.0,591999.9921096917
9565,457000.0,353102.7714121053
18742,247500.0,275739.68605966587
4425,285000.0,414737.7403748641
11618,450000.0,467100.3649789579
19594,725000.0,1009739.8868598575
16389,1660000.0,1188456.3341986723
3368,613000.0,560073.7921456732
17209,1450000.0,891697.0228326796
7254,1050000.0,964648.2535671769
12238,180000.0,389317.74109625723
9176,1270000.0,1301367.2195426524
10916,199500.0,207632.78020248655
1746,729000.0,695702.4583511474
1043,197500.0,176974.68462846335
12266,375000.0,482192.93184049055
14478,414500.0,234497.9081010213
13193,363000.0,576685.6710261581
15592,1680000.0,1385750.1045060568
13897,223000.0,106725.5704794284
13266,450000.0,421037.3931306042
21144,864327.0,795017.5071149524
14718,424000.0,335184.25365695544
12225,1460000.0,1127549.192007091
5543,346290.0,601064.8981703687
5806,216500.0,131742.03279793914
17375,492500.0,292537.8473780034
18877,232603.0,388890.8928594375
5942,908950.0,730618.2808965249
5922,1200000.0,1027452.1306067063
278,455000.0,465675.66353083495
8788,270000.0,427179.7520924788
6928,475000.0,512832.12183025666
821,310950.0,447081.5539776413
11449,228900.0,378790.47760966606
18043,381500.0,674417.4618498245
19339,535000.0,608833.9879219392
17603,124000.0,54280.244778920896
17419,219000.0,300734.92855314165
507,442000.0,360210.3816142939
772,465250.0,410835.31207200605
11172,592500.0,660707.633048418
20416,267000.0,240131.20394160505
12733,1150000.0,805608.2898109872
7014,725000.0,620819.8785255784
21365,382000.0,225861.5473062098
19119,747500.0,754232.4762644675
19382,410000.0,464679.42223115824
17362,853505.0,996090.0755465357
11959,509950.0,500440.1589560788
6820,274000.0,156056.7969722096
16132,370000.0,251572.06178192794
13265,350000.0,411760.6133344369
19827,398651.0,510288.2168510696
19668,340000.0,661927.6546997149
12770,610000.0,813921.1210798323
3986,415000.0,344868.33539568074
1752,480000.0,688571.4658797719
13789,302500.0,657695.4591357373
18358,418000.0,525058.0348678483
6144,273000.0,303239.8600338157
15284,550000.0,114490.77250049822
6647,212000.0,145121.04771390837
4668,414000.0,213381.50858417246
16053,247500.0,321125.44297039416
17948,599950.0,494432.6509838365
1943,284200.0,350762.01443879306
5008,805000.0,695988.7151912432
14186,299000.0,501301.6558358008
17323,379000.0,705857.0559484456
12370,4210000.0,2008178.6944042575
16049,467000.0,406795.54503353685
17900,778000.0,511994.30151555035
9323,1360000.0,833180.7749235155
12886,398000.0,487539.1202717973
3665,435000.0,252030.6902919812
10667,715000.0,654314.8046566164
6901,505000.0,504782.31867612153
13330,305000.0,306642.45033323765
17411,648752.0,612994.9312178353
7143,210000.0,224747.96961917263
13680,280000.0,299058.18472271226
21194,375500.0,601168.9391784742
15814,362000.0,315630.1527785761
11547,515000.0,1007391.2155737486
4404,796000.0,722704.6374196894
2253,468000.0,423313.17005928885
1711,187500.0,230927.82283373643
8416,225800.0,421302.87522022054
15044,484000.0,507611.8203515401
13681,295000.0,247666.61932116188
16563,365000.0,733176.1259260951
9716,489000.0,278950.6923775198
8902,350000.0,511477.53143335413
17799,287500.0,515875.41584596876
15974,325000.0,430609.0671880264
19011,550000.0,502546.0546367541
1194,406000.0,271426.34078636486
16951,1230000.0,1239418.4767492777
4827,318000.0,557668.9898055568
1334,805000.0,628091.6791491192
816,310000.0,213347.844547553
5551,600000.0,671317.8537034225
16428,411715.0,456100.31932478026
19733,489000.0,674291.7207697853
5094,499000.0,624136.5830263905
12389,237000.0,234976.8290834641
14826,365000.0,282451.7990029594
2594,565000.0,451423.188149726
18210,255950.0,351794.3533728663
18625,588000.0,633417.9706969038
14618,666000.0,496923.3415420633
3400,542126.0,602467.3327148389
1284,355000.0,324486.2924684677
20668,430100.0,339469.55071609374
20415,609000.0,362521.8106737379
1006,515000.0,571788.5258745896
3176,389000.0,364609.98232056573
5844,203000.0,323920.20152416267
15553,2300000.0,1644962.4793195436
4942,559000.0,671718.4086347502
11108,1110000.0,733092.494186258
8955,611206.0,744105.6407081634
12439,630000.0,685968.891098232
4682,690000.0,594879.9978309479
13238,685000.0,1089700.3088674564
15054,690000.0,477591.4596002707
19656,480000.0,493548.73878549784
11499,240000.0,463955.6002014633
21158,1070000.0,1010925.1548971757
14801,513000.0,388440.9014833011
15738,538000.0,519743.32607243024
1165,439995.0,390286.4720002506
10290,485000.0,818813.5240465971
16743,244500.0,225402.18026595656
12782,449950.0,770273.6148526547
5538,448500.0,471184.1167954914
10760,470000.0,449548.5240606833
1514,432900.0,542882.6010520849
9004,375000.0,469347.37985590566
2330,250000.0,174954.68362659495
812,347000.0,311224.7522823736
20913,299999.0,218550.99542108923
21208,1030000.0,1251657.318255173
19416,205000.0,202705.88001831248
20456,319000.0,229662.64834267553
7224,456500.0,665539.2604713086
19200,464950.0,366053.0616370188
6224,606000.0,756003.2373685995
6446,474905.0,170284.21890622284
3870,120000.0,190970.92196331918
5118,308130.0,654870.1040201858
11790,205000.0,255901.4105447121
154,350000.0,331593.4012919832
14912,500000.0,470864.014595191
10534,467000.0,459634.7479528431
9249,1120000.0,1354925.1534183528
2574,630000.0,442414.416967893
12382,207000.0,187216.16035152413
2814,450000.0,386961.2514735237
12426,710000.0,1228234.5895368345
10340,370000.0,229565.5884552328
13399,1580000.0,877780.9170757867
18174,818900.0,414726.94885870535
4254,271900.0,278579.7551469933
6585,260000.0,348241.51783137117
20318,540000.0,454422.09641525336
10359,216000.0,378291.54198431317
14545,1230000.0,1154779.3950476842
19858,2700000.0,1988137.0651284987
15026,439000.0,281449.46419362724
5165,300000.0,548050.3311791206
8413,1110000.0,1008372.8515212573
16646,440500.0,425039.5334492391
8268,425000.0,499701.586998838
8816,1100000.0,841730.1115838485
4263,530000.0,654108.028535936
14623,564800.0,514342.0193921318
13707,307500.0,206706.04778823908
17886,217000.0,57548.127650788985
16441,1220000.0,828802.0344631886
15417,375000.0,505007.5451280307
12200,565000.0,372928.45610172115
1190,405000.0,437234.2948182337
4055,703011.0,651427.4537342992
4326,289500.0,386488.1220142925
2388,340000.0,472648.1036971705
17150,490000.0,920295.4342500307
3388,637000.0,560590.5961036962
13367,610000.0,418214.9209810579
4102,269950.0,255251.17461021803
7190,380500.0,499405.4784268448
3601,889000.0,774488.3368851468
19352,390000.0,598979.0875431569
10353,385000.0,574212.9371750848
21149,950000.0,959930.8561142813
1885,340000.0,286069.18073717505
2795,750000.0,528826.1821475523
1583,1180000.0,1126829.143983312
16740,424000.0,364870.4067088952
18805,520000.0,483885.3184673684
763,374950.0,455179.2884568274
1783,443000.0,348242.0962046832
17976,360000.0,241302.5295533985
12038,420000.0,519238.3864879273
295,879000.0,962614.1075734487
536,452000.0,279001.8836315796
16551,199988.0,296879.01004385855
12353,275000.0,80638.54051182978
2033,350000.0,229580.83558624983
8208,579000.0,879187.5331770563
16081,1390000.0,983993.1408947557
19096,375000.0,492194.73516695295
6667,1100000.0,642753.9187945882
13664,655000.0,719281.3204623656
20631,380000.0,417313.3787260512
12297,950000.0,914297.3061839668
9026,565000.0,610280.6960717626
10228,254000.0,304682.0575553421
10598,278000.0,315215.2824704163
9910,375000.0,425493.3663176242
16750,800000.0,812076.7108431729
18843,481000.0,527400.2446128298
9603,1160000.0,1441014.2039197711
579,180000.0,163171.06456652936
10070,380000.0,578913.1775169494
7343,1540000.0,1362193.2285104515
20382,437000.0,418821.72889005207
6484,425500.0,307588.71966314316
1482,504750.0,600577.5613117348
5452,299950.0,360553.0774347121
5174,290256.0,505688.59103213996
4357,750000.0,428336.75682678353
2715,326500.0,369385.8109365413
20222,550000.0,391368.4759745728
18022,539950.0,427222.0594940111
19528,510000.0,527994.3519366784
15502,349950.0,433748.54225246515
18250,498000.0,307490.86939822976
17529,340000.0,706226.6491909847
8507,400000.0,501912.46387864277
14298,515000.0,563158.4746416723
7508,676101.0,609644.9999581156
9141,320000.0,99884.15891023353
10196,548000.0,412463.5467149718
10268,1250000.0,1257418.3401462631
8548,330000.0,512340.15856842045
3079,387500.0,414288.8317860216
11612,540000.0,617525.6017052801
3053,716000.0,803825.8005026588
17842,550000.0,196186.289153588
4749,319000.0,293182.1475960603
2669,161500.0,277389.10787176713
2769,199000.0,491059.4154171068
13779,375000.0,592646.0535279308
12721,670000.0,991863.1819326757
14880,416100.0,756083.9517481169
16329,253500.0,381656.9912938159
4843,224000.0,353176.2645749012
21138,398500.0,676770.1996418666
20801,728050.0,479661.93785463553
8763,655000.0,938134.4506300474
20827,386000.0,494944.9876970481
13519,135000.0,135947.34552368242
7342,395000.0,348472.5475144265
16413,760000.0,1185848.5523502463
14285,499950.0,347371.5554135097
16610,270000.0,426435.22823631857
2051,272000.0,460428.10954156145
10584,1060000.0,633679.2752274424
6155,239975.0,457380.3933455013
4636,810000.0,820764.0238862252
16521,187000.0,288038.9240940679
11552,252000.0,302164.595858817
13888,367950.0,679227.8500868622
701,195000.0,158863.41881356575
14391,430000.0,455897.34864128474
7002,2180000.0,1380309.8370317006
1569,797000.0,1026994.4772343831
6674,590000.0,526380.2301124092
1295,420000.0,206331.3594269408
16121,240000.0,470628.3785061762
1691,196440.0,139904.38464466855
20151,248000.0,329991.4999331366
791,675000.0,797090.2892031064
2122,405000.0,296090.4207195435
5039,235000.0,389522.26219807006
11702,250000.0,600116.8732300382
1205,525000.0,451736.7265626816
1754,1040000.0,1463395.4108034745
12804,400000.0,363983.34635501076
11623,613000.0,678565.0069173668
8006,390000.0,527155.3482937012
17341,1200000.0,964312.3709799713
11525,429950.0,604148.3415339245
7416,175409.0,148060.49174201582
7710,1000000.0,986268.2086175773
9445,297000.0,332470.44895785116
15511,266750.0,332075.4513449026
11075,315000.0,264459.2673782287
16122,285000.0,91497.98885411676
15312,190000.0,323507.27538600005
6498,274950.0,293637.4890503399
11084,814950.0,717399.0788595043
6848,426000.0,311483.80262786895
9967,799000.0,755021.2295539044
4148,430000.0,319769.90953939967
12516,572000.0,434590.6155658411
16860,585000.0,500716.36051303335
18771,315000.0,494443.91707785334
19880,210000.0,267195.04335121624
14392,270000.0,323698.66323686857
15579,565000.0,803048.6991416216
832,270000.0,495475.70100896154
15075,690000.0,535315.1477048136
8464,306000.0,294592.4447607817
7308,798000.0,892037.1804567231
1180,826000.0,755616.3774137646
15495,250000.0,306382.07827597205
4608,760000.0,1043608.1326172277
16605,585000.0,868058.541144412
1751,490000.0,295898.31927476916
20595,392000.0,417865.5857746471
2052,380000.0,452083.1976940036
16737,365000.0,450874.1091966769
7542,1050000.0,731024.2985229623
6965,408506.0,451745.95788012166
10455,415000.0,714472.1353219282
14732,236000.0,307425.5923755793
8455,315000.0,428126.9820571812
9431,310000.0,224255.99663625006
19679,575000.0,588354.8380319066
14615,160000.0,158915.34552088287
12941,310000.0,374945.2090792628
11797,530000.0,425427.13867751695
18864,510000.0,796670.3658036031
17588,800000.0,874291.0911016762
575,300000.0,273154.21780519
7594,395000.0,351058.55590218026
15033,699000.0,752116.549534875
4804,353000.0,278734.63074848056
2054,297000.0,311547.4077456603
16701,637000.0,658245.3210962545
14932,920000.0,873479.8664767286
16565,385000.0,548109.6403186442
12661,583000.0,568125.0405617189
13883,360000.0,477626.306683125
12945,436000.0,503877.6236251481
15786,400000.0,493688.07202294096
19586,450000.0,439442.24024750385
19861,328000.0,483297.43962401524
6925,345000.0,253209.61130343098
12092,299000.0,277099.301605355
517,750000.0,671937.6385748666
13848,300000.0,475487.1345240753
8648,692000.0,785217.2006416926
20642,500000.0,327537.66360323597
18002,969950.0,832607.8320398731
4883,261000.0,277861.5373539971
16617,355500.0,416865.7407436846
5782,595000.0,765279.1372457715
13830,356000.0,127463.54502390325
18618,355000.0,573604.4287506286
15990,265000.0,362413.83547475375
15607,190000.0,402985.5300875595
6704,203000.0,205810.5711670136
20163,383000.0,536865.689182803
7038,717000.0,863886.5079652742
8368,362500.0,354569.6803057054
21395,779000.0,569854.1297828918
3234,252000.0,267556.6002328107
5948,199000.0,255837.8258848386
13619,427500.0,335615.4510202212
9656,1570000.0,879751.6229768489
6859,406100.0,379280.43293671403
7072,360000.0,287132.3919734033
829,659000.0,613852.5671292786
19218,589000.0,546565.3182493439
21204,1060000.0,842298.0671728831
6701,449950.0,829237.9861671319
14294,396500.0,911244.7001995752
12650,1850000.0,711607.115632249
10914,463000.0,513142.27654930763
17381,335000.0,456386.0212663496
5548,565000.0,585898.18896446
10476,820000.0,998311.008740983
20838,1280000.0,1588789.2310191821
8871,279000.0,400881.89406589046
4707,336000.0,220538.26676259842
499,437500.0,407466.58332226984
12321,385000.0,564283.4125166703
19994,260000.0,228075.04219227098
5663,315000.0,424030.4204261787
15659,420000.0,518830.5283208238
7806,222000.0,279289.44219836034
8697,700000.0,671587.2351497244
6190,445000.0,612619.8779395372
11746,585000.0,514977.1171904309
12131,219950.0,358474.9047844708
7109,350000.0,248594.59925838187
8789,210000.0,210462.18617210072
8116,499000.0,450004.21030873153
18674,275000.0,399228.95532185584
9593,700000.0,478053.94816283695
6433,284000.0,296524.99421292637
9990,530000.0,379623.3971236218
12663,261500.0,348745.13927935716
3061,790000.0,642884.8151153848
16485,319950.0,373074.7423575865
15761,315000.0,303254.1664114604
1490,423000.0,557592.2365611093
11314,383000.0,630319.4953472475
1557,937500.0,1234107.5375741776
20892,790000.0,1274093.2618813459
10235,233703.0,349427.61978425365
21448,326000.0,335619.69387468975
8089,285650.0,280552.49256335665
3998,291000.0,140807.05207828246
5854,512500.0,328570.21524963155
20875,639983.0,542562.5625615744
17844,1380000.0,747461.2025793279
18,189000.0,456678.9966245722
17872,731000.0,785394.4071672074
7896,200000.0,232766.34002862778
6296,535000.0,492913.6490784222
1640,561750.0,480143.0607575178
3580,521000.0,532106.1005049888
4214,525000.0,554863.0537820719
15980,499950.0,799601.4217561902
4308,386000.0,431764.176863431
16584,455000.0,363047.33500173874
12727,642860.0,511700.8492842959
19712,263000.0,255293.0315136956
13804,253200.0,93515.0782051161
12923,590000.0,785481.562270944
841,320000.0,196902.90249444265
10286,401500.0,729239.2104409272
14777,299000.0,649375.7658874243
21443,250000.0,346584.51504623424
10118,319000.0,475513.9279175112
12608,291000.0,322211.1277139969
2124,800000.0,559367.41580691
20889,425000.0,384803.3850613078
1911,685000.0,881461.4540924476
3309,426000.0,268589.7833813848
4861,220000.0,510447.1367522087
8753,358000.0,483729.31649571843
12219,250000.0,460632.65067065693
9454,213400.0,271353.28200002573
21260,495000.0,684802.761763637
20676,828950.0,982412.3367763693
2049,575000.0,409138.81109613646
17262,308000.0,320300.56432745047
13183,161000.0,400541.7736493191
4633,1020000.0,1013830.319420727
20231,500000.0,379850.1651243679
10669,245000.0,394385.7122100955
3502,389000.0,333069.3673068257
798,470000.0,514946.4419667013
3970,122000.0,143061.8919828441
10065,315000.0,327920.65034087654
20698,619990.0,523477.00678324886
11168,1070000.0,1007924.5389266023
7054,465000.0,198271.52744810656
1991,299000.0,408504.5777927451
644,430000.0,431245.0537226172
8812,800000.0,770503.5915626334
3841,585000.0,780995.1590293907
18396,259000.0,294192.3098246828
16011,392500.0,385621.5885312138
20046,498000.0,550568.737504675
18729,309000.0,353860.2363741873
4691,423000.0,501128.1862475062
12326,925900.0,1117597.1657747077
5624,885000.0,1051614.7773554483
14152,662500.0,691712.1433897316
2044,940000.0,860766.3941796357
3161,780000.0,645162.207734406
20735,275000.0,264407.1026987126
7068,1040000.0,461942.8380649593
5125,540000.0,847873.8897971772
1471,1330000.0,1022359.5423852811
8381,390000.0,392615.848492044
21344,1490000.0,1902524.7857991373
15804,1190000.0,1123142.5166337946
15671,345000.0,371178.97414449416
15730,366000.0,436870.65184729267
3042,362000.0,69130.87162587885
13632,675750.0,746189.3000381012
2021,340000.0,533050.6018573577
19814,1530000.0,1267167.516285589
16393,926250.0,599672.4092821013
10561,500000.0,446210.9914720394
13528,3170000.0,1509432.7616161602
21353,667000.0,563434.9959216025
12182,511555.0,352773.2455367213
9398,685000.0,802180.9499479374
13979,400000.0,270402.9607380368
2179,1650000.0,1756864.7709834194
14355,850000.0,951807.208401137
8822,357000.0,320503.6183869466
7477,370000.0,393908.45242872555
10798,415000.0,566497.225548747
11911,900000.0,600913.5095692407
16483,627000.0,492695.8172067562
18577,240000.0,304871.3322870964
20060,379950.0,511285.28662172705
3941,450000.0,487104.10254181083
2411,487000.0,892551.9424972096
18902,385000.0,684326.1617208682
8430,749950.0,760037.9563080892
74,349000.0,387893.5525169922
15237,1030000.0,826414.7073567305
17543,336900.0,213916.99392857868
16506,265000.0,304158.40826270636
15193,450000.0,327501.7703564521
3928,1300000.0,1434073.0398518788
1957,345000.0,554807.5301614897
13781,585000.0,807705.2289686985
18990,550000.0,481275.5027198298
153,2250000.0,1631709.2056145696
15631,907500.0,762962.290600257
20672,349950.0,596667.9901981447
20221,360000.0,338681.13263382576
20503,355000.0,239815.14105476905
1191,220000.0,286761.172015124
439,578000.0,636583.7139641857
14514,234500.0,391484.85583565943
15449,657000.0,806000.6224333039
619,210000.0,405293.33553438354
18243,538000.0,529555.8659817968
11144,650000.0,769171.4740799638
21542,715000.0,639957.0703211427
20833,329995.0,464538.5398269715
10021,465000.0,420826.1718586553
16282,632500.0,798668.0838129763
20252,1300000.0,793634.169218542
14266,400000.0,355279.9002848761
14644,418900.0,369251.3786414182
8747,233000.0,323830.2704992173
16335,1350000.0,999885.4558397466
19864,435000.0,341573.0948593626
18476,263700.0,207048.5922221057
2464,353000.0,237872.94354366604
2108,870000.0,1089572.7727213064
15428,319000.0,580018.6571956566
