,index,id,date,sqft_living,sqft_lot,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,month,year,age,price,predicted
69,329,9542850320,2014-07-25,2370,10289,1590,780,1977,0,98005,47.592,-122.166,2500,10004,7,2014,38,"$790,000.00","$735,363.30"
70,331,2946001550,2015-04-16,2240,11180,2240,0,1955,0,98198,47.42,-122.323,1590,7955,4,2015,60,"$279,000.00","$423,779.10"
71,335,5009600070,2014-10-07,1960,5238,1960,0,2003,0,98038,47.3483,-122.052,1800,5894,10,2014,12,"$260,000.00","$313,435.20"
72,340,3126069068,2015-04-24,2560,43995,2560,0,1962,0,98052,47.6945,-122.09299999999999,2560,14764,4,2015,53,"$485,000.00","$546,326.20"
73,342,6414100671,2014-09-09,2500,6840,1300,1200,1957,0,98125,47.7222,-122.32,1580,8691,9,2014,58,"$425,000.00","$670,881.90"
74,346,3969300030,2014-12-29,1000,7134,1000,0,1943,0,98178,47.4897,-122.24,1020,7138,12,2014,72,"$239,900.00","$146,491.70"
75,348,808000070,2014-10-21,1390,13464,1390,0,1987,0,98030,47.3581,-122.17299999999999,1720,12080,10,2014,28,"$206,600.00","$261,966.60"
76,366,6116500075,2015-03-26,2990,10400,2990,0,2002,0,98166,47.4508,-122.359,2140,17449,3,2015,13,"$673,000.00","$723,776.90"
77,371,2231500030,2014-10-01,2180,10754,1100,1080,1954,0,98133,47.7711,-122.34100000000001,1810,6929,10,2014,61,"$315,000.00","$503,393.20"
78,380,1726059053,2014-09-16,1380,209959,1380,0,1954,0,98011,47.7461,-122.195,3130,19868,9,2014,61,"$270,000.00","$316,609.60"
79,381,624111000,2014-08-05,4040,14338,3030,1010,1986,0,98077,47.7268,-122.06,3360,14142,8,2014,29,"$950,000.00","$1,175,927.80"
80,385,8651600160,2014-11-11,2510,11585,2510,0,1969,0,98040,47.5483,-122.226,2450,9691,11,2014,46,"$799,000.00","$652,238.10"
81,390,7972600860,2014-12-10,1550,7620,1550,0,1957,0,98106,47.5287,-122.35,1450,7620,12,2014,58,"$345,000.00","$326,590.20"
82,393,1653500070,2014-05-12,3300,12090,3300,0,1953,0,98004,47.6294,-122.21799999999999,3180,12239,5,2014,62,"$927,000.00","$881,851.10"
83,394,1923000030,2014-07-28,3840,16619,3840,0,1983,0,98040,47.5634,-122.213,3600,16553,7,2014,32,"$1,120,000.00","$1,134,479.90"
84,397,5175800060,2014-06-23,1940,25600,1940,0,1962,0,98006,47.5722,-122.12899999999999,2000,10071,6,2014,53,"$365,000.00","$535,411.90"
85,413,1525200060,2014-07-23,2000,7251,2000,0,1995,0,98034,47.7067,-122.2,2450,8118,7,2014,20,"$577,500.00","$638,733.40"
86,416,824079032,2014-06-26,2085,174240,1610,475,1964,0,98024,47.5753,-121.95,2690,174240,6,2014,51,"$563,500.00","$349,389.40"
87,431,2944010240,2014-09-08,4040,19700,4040,0,1987,0,98052,47.7205,-122.12700000000001,3930,21887,9,2014,28,"$988,000.00","$1,254,987.20"
88,435,2268400350,2014-09-16,1710,9627,1440,270,1976,2014,98006,47.559,-122.164,2140,9131,9,2014,39,"$749,000.00","$602,439.20"
89,436,7504101040,2014-08-21,4870,11800,3470,1400,1983,0,98074,47.633,-122.041,3180,11398,8,2014,32,"$722,500.00","$1,226,232.90"
90,437,11500890,2015-03-12,3130,8750,3130,0,1991,0,98052,47.6954,-122.103,2860,9003,3,2015,24,"$843,000.00","$966,965.10"
91,439,284000223,2014-09-16,2120,10875,1540,580,1977,0,98146,47.504,-122.382,2460,11760,9,2014,38,"$578,000.00","$636,583.70"
92,443,822079033,2015-04-22,1250,219978,1250,0,1980,0,98038,47.4056,-121.955,1930,210394,4,2015,35,"$350,000.00","$16,175.10"
93,448,7905370390,2014-10-09,2340,7200,1300,1040,1975,0,98034,47.7206,-122.211,1930,7221,10,2014,40,"$475,000.00","$427,923.40"
94,449,4140090240,2014-11-05,2590,9263,1440,1150,1977,0,98028,47.7691,-122.262,2580,9450,11,2014,38,"$520,000.00","$658,756.80"
95,452,2525300030,2015-02-22,1400,10403,1400,0,1976,0,98038,47.361999999999995,-122.029,1230,10209,2,2015,39,"$232,000.00","$129,494.90"
96,457,2122039094,2014-11-26,1970,20978,1770,200,1980,0,98070,47.3844,-122.43799999999999,2280,75396,11,2014,35,"$705,000.00","$1,404,925.00"
97,459,1796360350,2015-01-28,1240,8659,1240,0,1986,0,98042,47.3663,-122.089,1490,8223,1,2015,29,"$255,000.00","$225,952.90"
98,461,1843100340,2015-03-05,2570,8491,2570,0,1989,0,98042,47.3759,-122.125,2400,8049,3,2015,26,"$348,000.00","$623,892.30"
99,463,4166600473,2014-12-09,2390,11250,2390,0,1988,0,98023,47.3305,-122.37100000000001,2480,11250,12,2014,27,"$359,500.00","$679,327.30"
100,466,2419600075,2014-12-01,1480,6360,1480,0,1954,0,98133,47.7311,-122.353,1480,6360,12,2014,61,"$465,000.00","$385,761.90"
101,467,2621760350,2014-10-15,1850,7324,1850,0,1997,0,98042,47.3701,-122.10700000000001,2100,7329,10,2014,18,"$325,000.00","$442,884.40"
102,477,6844700810,2014-09-01,1050,4590,850,200,1949,0,98115,47.6943,-122.29,1770,5400,9,2014,66,"$438,924.00","$332,371.40"
103,479,6665800030,2014-07-18,2910,10650,1780,1130,1975,0,98033,47.6658,-122.18799999999999,2920,10988,7,2014,40,"$590,000.00","$799,144.60"
104,486,9286000240,2014-07-11,4860,11793,3860,1000,1998,0,98006,47.5521,-122.137,3600,11793,7,2014,17,"$1,070,000.00","$1,302,381.10"
105,488,8691370400,2014-12-16,2810,7302,2810,0,2002,0,98075,47.5985,-121.977,2820,7302,12,2014,13,"$699,900.00","$729,449.60"
106,495,9828702519,2014-05-12,1230,1391,870,360,2004,0,98112,47.6192,-122.301,1240,1350,5,2014,11,"$490,000.00","$373,408.70"
107,498,9274202270,2014-08-18,1490,5750,1190,300,1900,0,98116,47.5872,-122.39,1590,4025,8,2014,115,"$625,000.00","$635,575.40"
108,499,7852030960,2014-11-06,2120,4500,2120,0,2000,0,98065,47.5322,-121.88,2530,4816,11,2014,15,"$437,500.00","$407,466.60"
109,503,1245002952,2014-10-15,2770,7800,2770,0,1999,0,98033,47.684,-122.205,2720,10000,10,2014,16,"$1,200,000.00","$836,684.30"
110,505,5379805885,2014-05-21,1330,7200,1330,0,1993,0,98188,47.4467,-122.281,1450,11682,5,2014,22,"$240,000.00","$248,175.90"
111,507,9238901420,2015-02-02,1190,5100,1030,160,1941,0,98136,47.5346,-122.385,1690,5100,2,2015,74,"$442,000.00","$360,210.40"
112,517,925059288,2015-05-07,2400,7745,2400,0,2001,0,98033,47.6734,-122.17299999999999,2080,8615,5,2015,14,"$750,000.00","$671,937.60"
113,536,6204420070,2015-05-01,1570,8268,1570,0,1979,0,98011,47.7373,-122.197,1870,8190,5,2015,36,"$452,000.00","$279,001.90"
114,549,5000500055,2014-05-28,1320,8865,1320,0,1943,0,98168,47.4949,-122.3,1190,6490,5,2014,72,"$215,000.00","$278,031.40"
115,554,8718500075,2014-11-17,1300,8280,1300,0,1956,0,98028,47.7403,-122.256,1570,8692,11,2014,59,"$396,000.00","$338,570.00"
116,555,4309710240,2014-07-22,2990,29170,2990,0,1999,0,98059,47.5146,-122.117,3715,29170,7,2014,16,"$725,000.00","$899,993.00"
117,557,236400320,2014-07-15,1400,7242,1400,0,1959,0,98188,47.4339,-122.291,1310,7314,7,2014,56,"$238,000.00","$290,909.00"
118,560,3624079046,2014-10-28,2230,108900,1410,820,1978,0,98065,47.52,-121.845,1960,65340,10,2014,37,"$460,000.00","$425,147.30"
119,565,7203102050,2014-07-28,1840,5680,1840,0,2008,0,98053,47.6969,-122.02600000000001,1600,4697,7,2014,7,"$435,000.00","$307,704.40"
120,570,5104510270,2014-07-18,1830,5612,1830,0,2003,0,98038,47.3572,-122.015,1830,5998,7,2014,12,"$338,900.00","$292,859.90"
121,575,222069082,2014-12-17,1220,75794,1220,0,1963,0,98038,47.4219,-122.007,2010,98010,12,2014,52,"$300,000.00","$273,154.20"
122,577,1526069135,2014-12-11,6050,84942,4150,1900,2009,0,98077,47.7466,-122.029,2700,199504,12,2014,6,"$930,000.00","$1,291,260.20"
123,578,1088650310,2015-01-27,2320,5493,2320,0,2004,0,98028,47.7727,-122.229,2450,5471,1,2015,11,"$530,000.00","$503,804.50"
124,579,8945200860,2014-12-11,1384,8960,1384,0,1965,0,98023,47.3062,-122.37100000000001,1000,8470,12,2014,50,"$180,000.00","$163,171.10"
125,583,3876300310,2014-10-22,2060,10070,2060,0,1975,0,98034,47.7258,-122.177,2060,8155,10,2014,40,"$439,000.00","$428,796.70"
126,591,3620069036,2014-10-21,1820,32666,1820,0,1966,0,98022,47.1803,-121.97399999999999,2050,43560,10,2014,49,"$265,000.00","$389,873.20"
127,593,9542830350,2014-09-02,1780,3600,1780,0,2006,0,98038,47.3665,-122.01700000000001,2020,3802,9,2014,9,"$296,000.00","$279,606.90"
128,599,8651100140,2014-08-05,3200,15367,3200,0,1962,0,98040,47.5494,-122.21600000000001,3070,15263,8,2014,53,"$1,220,000.00","$922,345.70"
129,600,8682250350,2014-10-09,1670,6460,1670,0,2004,0,98053,47.7123,-122.027,2170,6254,10,2014,11,"$507,000.00","$402,839.70"
130,605,240000058,2015-04-08,3550,13938,2100,1450,1966,0,98188,47.425,-122.28299999999999,2050,9000,4,2015,49,"$469,000.00","$831,753.90"
131,613,4379400260,2014-06-10,2540,4694,2540,0,2005,0,98074,47.6214,-122.024,2600,6344,6,2014,10,"$695,000.00","$705,939.90"
132,618,9407110700,2015-01-13,1250,9775,1250,0,1971,0,98045,47.4474,-121.771,1390,9650,1,2015,44,"$175,000.00","$246,146.90"
133,619,1682500160,2014-06-19,1440,7210,1440,0,1983,0,98092,47.3128,-122.184,1700,7245,6,2014,32,"$210,000.00","$405,293.30"
134,620,8078570390,2015-04-15,1920,7415,1920,0,1989,0,98031,47.4022,-122.171,1930,7536,4,2015,26,"$260,000.00","$398,910.40"
135,624,6411600069,2014-05-21,990,6750,990,0,1947,0,98133,47.7125,-122.331,1440,6860,5,2014,68,"$325,000.00","$178,113.60"
136,629,9485951170,2014-05-22,3250,34293,3250,0,1983,0,98042,47.3496,-122.094,3110,35982,5,2014,32,"$480,000.00","$840,964.90"
137,640,4315700060,2015-03-03,1300,3850,800,500,1963,0,98136,47.5395,-122.39,950,5500,3,2015,52,"$378,000.00","$362,005.10"
138,641,3329500060,2014-07-28,2250,9091,1340,910,1982,0,98001,47.33600000000001,-122.26899999999999,1540,7802,7,2014,33,"$305,000.00","$412,692.60"
139,643,9385200045,2015-05-12,1660,1091,1530,130,2015,0,98116,47.5818,-122.402,1510,1352,5,2015,0,"$729,500.00","$558,943.20"
140,644,7852180340,2014-09-30,2360,6699,2360,0,2003,0,98065,47.5317,-121.853,2360,4744,9,2014,12,"$430,000.00","$431,245.10"
141,651,7214700350,2014-11-24,2020,36400,1550,470,1976,0,98077,47.7627,-122.07600000000001,2520,38255,11,2014,39,"$521,000.00","$485,294.60"
142,660,192460310,2015-03-24,1140,22267,1140,0,1986,0,98045,47.4761,-121.758,1150,15625,3,2015,29,"$269,900.00","$196,669.00"
143,663,6798100662,2014-05-27,1255,1374,1255,0,2004,0,98125,47.7145,-122.311,1307,1232,5,2014,11,"$312,000.00","$202,265.20"
144,664,1775920350,2014-11-24,1290,12231,1290,0,1976,0,98072,47.7404,-122.11,1390,11632,11,2014,39,"$323,000.00","$232,786.80"
145,675,3558900070,2014-07-18,1870,9315,1350,520,1975,0,98034,47.705,-122.20200000000001,2230,9579,7,2014,40,"$497,000.00","$415,863.50"
146,693,8024200350,2015-03-04,800,4342,670,130,1927,0,98115,47.6997,-122.316,1210,4343,3,2015,88,"$410,000.00","$255,665.40"
147,701,1895000045,2015-05-04,820,5100,820,0,1953,0,98118,47.5156,-122.262,1170,5304,5,2015,62,"$195,000.00","$158,863.40"
148,704,41000454,2014-08-15,880,9000,880,0,1928,0,98188,47.4672,-122.291,1410,10000,8,2014,87,"$130,000.00","$147,641.00"
149,706,9477200560,2015-04-13,1530,7245,1530,0,1984,0,98034,47.731,-122.191,1530,7490,4,2015,31,"$440,000.00","$282,410.50"
150,717,8820903380,2014-07-28,2660,13579,2660,0,1937,1990,98125,47.7142,-122.286,1120,8242,7,2014,78,"$452,000.00","$580,822.20"
151,719,4233400400,2015-04-14,1300,9644,1300,0,1994,0,98010,47.3131,-121.99799999999999,1430,9656,4,2015,21,"$267,000.00","$214,901.40"
152,721,6431000270,2014-07-28,960,4080,960,0,1911,0,98103,47.6893,-122.34899999999999,1300,4080,7,2014,104,"$565,000.00","$461,291.60"
153,722,2225059214,2014-08-08,4670,51836,4670,0,1988,0,98005,47.635,-122.164,4230,41075,8,2014,27,"$1,580,000.00","$1,481,052.20"
154,723,7694800270,2015-04-20,2140,2770,1770,370,2007,0,98052,47.6664,-122.131,2510,2708,4,2015,8,"$636,000.00","$506,379.10"
155,727,1932300075,2014-09-10,1050,5900,1050,0,1950,0,98126,47.5326,-122.376,1280,5900,9,2014,65,"$245,000.00","$328,325.80"
156,733,4021100045,2014-07-15,2380,17950,2110,270,1934,0,98155,47.7591,-122.28,2030,23900,7,2014,81,"$550,000.00","$770,600.30"
157,737,9346980140,2014-08-20,1920,7400,1260,660,1977,0,98006,47.5633,-122.131,2360,8048,8,2014,38,"$605,000.00","$517,256.20"
158,748,579003610,2015-02-24,1430,5200,1250,180,1940,0,98117,47.6988,-122.387,2210,6240,2,2015,75,"$517,500.00","$569,659.40"
159,752,3959400710,2014-07-30,1370,6001,1230,140,1944,0,98108,47.5646,-122.31700000000001,1370,5520,7,2014,71,"$447,000.00","$369,848.80"
160,759,770000045,2014-10-24,2830,4000,2830,0,1918,0,98118,47.5132,-122.262,1480,4000,10,2014,97,"$405,600.00","$815,742.80"
161,760,6979900390,2014-05-29,2440,22594,2440,0,1996,0,98053,47.6333,-121.97,2560,33341,5,2014,19,"$565,000.00","$539,981.50"
162,763,8856940060,2015-02-27,2730,4683,2730,0,2005,0,98038,47.3608,-122.04299999999999,2230,4924,2,2015,10,"$374,950.00","$455,179.30"
163,768,208500160,2015-01-07,2430,6099,1470,960,1965,0,98115,47.6777,-122.287,2180,6099,1,2015,50,"$760,000.00","$641,594.90"
164,771,3343901234,2014-11-13,1130,7223,1130,0,1961,0,98056,47.5089,-122.189,1320,7356,11,2014,54,"$341,500.00","$286,240.40"
165,772,226039214,2014-06-12,1940,7642,1940,0,1957,0,98177,47.7751,-122.38,1940,8724,6,2014,58,"$465,250.00","$410,835.30"
166,774,2205500575,2015-02-09,1200,10800,1200,0,1955,0,98006,47.5771,-122.14399999999999,1370,9950,2,2015,60,"$390,000.00","$297,302.50"
167,775,4040800810,2014-05-02,2000,8030,1000,1000,1963,0,98008,47.6188,-122.11399999999999,2070,8250,5,2014,52,"$420,000.00","$600,841.60"
168,779,1954700695,2014-06-12,4860,9453,3100,1760,1905,0,98112,47.6196,-122.286,3150,8557,6,2014,110,"$2,250,000.00","$1,630,559.60"
169,787,2423069155,2014-11-20,2090,40419,2090,0,1984,0,98027,47.4691,-121.993,2380,63162,11,2014,31,"$460,000.00","$337,943.00"
170,789,2608300030,2014-05-16,1800,5761,1800,0,1990,0,98106,47.5293,-122.363,1800,5952,5,2014,25,"$408,200.00","$372,896.70"
171,791,7504101230,2014-06-23,2810,11120,2810,0,1982,0,98074,47.6337,-122.044,3100,12672,6,2014,33,"$675,000.00","$797,090.30"
172,794,1623049062,2015-03-04,750,34133,750,0,1950,0,98168,47.4781,-122.294,1460,25792,3,2015,65,"$210,000.00","$154,467.90"
173,798,7852020640,2014-10-20,2100,4700,2100,0,1999,0,98065,47.5341,-121.867,2100,4700,10,2014,16,"$470,000.00","$514,946.40"
174,799,6838800140,2015-02-24,4270,40097,4270,0,1993,0,98077,47.7354,-122.07799999999999,3510,36149,2,2015,22,"$1,100,000.00","$1,365,308.20"
175,807,6067900060,2014-06-05,2390,9966,1360,1030,1977,0,98006,47.5433,-122.185,2140,10713,6,2014,38,"$565,000.00","$635,737.90"
176,809,1786640070,2014-08-06,1950,8698,1950,0,1999,0,98042,47.39,-122.15299999999999,2330,7212,8,2014,16,"$361,000.00","$445,351.40"
177,811,7234600903,2014-10-16,1180,1253,840,340,2008,0,98122,47.6124,-122.309,1310,1963,10,2014,7,"$419,000.00","$340,079.90"
178,812,4307350200,2015-05-12,1680,4308,1680,0,2004,0,98056,47.4802,-122.179,2160,4182,5,2015,11,"$347,000.00","$311,224.80"
179,816,4057300200,2014-12-22,1150,3323,1150,0,1988,0,98029,47.5707,-122.01700000000001,1150,2980,12,2014,27,"$310,000.00","$213,347.80"
180,821,6799300270,2014-08-06,2030,4997,2030,0,2004,0,98031,47.393,-122.184,2095,5500,8,2014,11,"$310,950.00","$447,081.60"
181,822,2021200370,2014-09-01,3010,5000,1890,1120,1931,0,98199,47.6347,-122.396,2688,5000,9,2014,84,"$1,100,000.00","$1,125,145.40"
182,829,7300200550,2015-03-19,2610,24931,2610,0,1983,0,98075,47.5771,-122.05,2550,18306,3,2015,32,"$659,000.00","$613,852.60"
183,830,2061100570,2015-02-10,1910,5753,1110,800,1941,0,98115,47.6898,-122.32700000000001,1630,5580,2,2015,74,"$595,000.00","$764,582.10"
